Date,Title,article
"Oct 18, 2001, 23:57 IST",NGO contributes in fight against HIV,"vadodara: while it is important to recognise the need to disseminate awareness and dispel myths about male semen loss and masturbation, the international symposium held at melbourne early this month has also added that masturbation should not be seen as an alternative to safer and healthier relationships. vadodara-based ngo the deepak charitable trust has worked in 27 villages around the city on the issue of male semen loss concerns and its role in hiv which was highlighted at a special symposium organised at the sixth international conference on aids in melbourne last month. aruna lakhani of dct says the international symposium was on 'males semen loss concerns in the hiv perspective' and was supported by the unaids and the ebert programme on reproductive health population council, ny. following the representation made by participants in the international symposium, experts have now agreed that dissemination of correct information on semen loss concerns, masturbation and nocturnal emissions is essential in all hiv-related communication, but it should not be seen as an alternative to safer and healthier relationships. the experts have agreed that ""addressing semen loss concerns and anxieties about masturbation is essential, but should be postponed as an additional safe behaviour for hiv prevention. encouragement should be given to safer sexual practices with the partner"". the trust has worked in several villages around vadodara where hiv and other std concerns were studied. the trust recognised the crucial role that men play in the hiv-prevention strategies. the focus of most hiv prevention programmes until recently was on women, and men's attitude and behaviour were overlooked. ""the male concern over semen loss through masturbation and myths surrounding it lead men to look toward unsafe sexual encounters. however, dct doctors and volunteers organised group talks with men and created awareness to dispel myths about masturbation and nocturnal emissions. this helped in curbing such unwanted encounters,"" she said. the deepak trust highlighted its research projects in the international symposium which were followed by discussions and interactions between the participants and speakers. "
"Nov 3, 2001, 19:33 IST",HIV positive man kills 5 family members,"rajahmundry, andhra pradesh: in a gruesome incident, a person, who tested hiv positive, hacked to death five of his family members before attempting suicide at peravaram village in west godavari district of andhra pradesh on saturday, police said. fearing disastrous consequences for his family in the event of his death due to aids, peravali seenu (32), a casual labourer working at a factory at dowaleshwaram near here, decided to kill his parents, wife, three-year old son and two sisters, police said. seenu, who had lost his job last week, hacked to death his father muthyalu (60), mother nagaratnam (55), wife parvathi (22), son babu and sister ravana (30), while they were asleep. another sister, who tried to stop him from committing suicide, was injured in the attack. after killing the family members, he rushed out of the house and climbed an electric pole in a bid to electrolocute himself. he, however, slipped and fell down, police said, adding he had been taken into custody. "
"Nov 2, 2001, 01:20 IST",HIV test centre opens at Kurji hospital,"patna: the kurji holy family hospital has now a new voluntary counselling and test centre for hiv. opened at the initiative of bihar state aids control society (bsacs), the centre charges only rs 10 instead of the previous rs 200 for the service. bsacs project director c k anil on thursday inaugurated the new centre, the second in the state. speaking on the occasion, he thanked the hospital for taking up the project to offer this appropriate service. speaking about the new venture, sr sophie, the director of community health, said no one is forced to undergo the test. those who volunteer also get pre-test and post-test counselling free. hospital administrator sr joan lauded the efforts of bsacs which has sponsored all the facilities at the centre. the holy family has already launched a massive aids awareness drive and conducted workshops for the local youth groups, women's groups, domestic workers, religious groups and school children. vandana nair, the project coordinator for hiv, said so far in 2001, 30 cases of hiv positive have been detected among patients and blood donors in the hospital as against 31 cases last year. interestingly, 80 per cent of the cases are males and nair thinks that most women of the above infected men , too, may out positive, if tested. "
"Nov 1, 2001, 19:52 IST",One per cent of pregnant women in Delhi HIV positive,"new delhi: one per cent of all the pregnant women in the capital are hiv positive with chances that 30 per cent of the children from these births would get infected with the virus, indian academy of pediatrics said on thursday. ""of 27 million deliveries every year in india, 1.3 lakhs occur in hiv positive mothers. hence to prevent transmission of hiv from mother to child it is important that all pregnant women be counselled for hiv testing,"" chairman of the committee dr panna choudhury told reporters here, quoting statistics from a survey by national aids control organisation (naco). research has shown that education on hiv/aids and sex reduces high risk behaviour among adolescents, thereby helping in controlling its speedy spread, he added. he said that now even students and teachers are demanding that education about sex, sexuality and hiv/aids be made a part of school curriculum. to sensitise the pediatricians about childhood and adolescent hiv/aids and to build consensus for care of pediactric aids, indian academy of pediatrics is organising a two-day national conference on pediatrics hiv/aids. experts from who, unicef, naco and unaids and about 300 doctors from india and abroad are expected to participate in the conference which will begin on november three, he said. "
"Nihal Koshie,Nov 28, 2001, 01:01 IST",State registers drop in HIV-positive cases,"hyderabad:the state has registered a marginal decrease in the number of hiv-positive cases this year, according to an annual study conducted by the andhra pradesh state aids control society (apsacs). the prevalence of the virus in the annual sample study conducted at 13 centres for antenatal cases has fallen from 2.43 per cent in 1999 to the present figure of two per cent,apsacs additional project director nsr brahmachary told the times of india. the percentage of patients with sexually transmitted diseases (stds), who tested positive, has fallen from 30 per cent (1999) to 28 per cent. the apsacs collects data regarding the number of hiv-positive patients from 13 centres — nine for antenatal testing and four for std in the state.the tabulation of such data is done annually between august 1 and october 31 at these centres. the nine antenatal testing centres are located in vizag, guntur, kurnool, hyderabad, warangal, tirupati, khammam, anathapur, and karimnagar. the number of hiv-positive cases reported from voluntary blood donation testing centres has also dropped from 1.17 per cent in 1998 to 0.98 per cent. even though this is an encouraging sign, we cannot say that the spread of the virus has come down, brahmachary said. the first reason is that the study's sample covers only about 3,600 antenatal cases and about 800 std cases in the state. many people still live with the virus ignorant that they might have been infected as a person could lead a perfectly normal life after infection for years. another reason is that many people do not report and prefer to hide the fact that they are hivpositive due to social stigma and fear, the apsacs official said. even though there are an estimated 3.5 lakh hiv-positive people in the state, an exact figure cannot be arrived at as hiv testing is not mandatory according to the testing policy followed. these figures are based on voluntary testing and the annual study. another reason could be the three-antigen test that confirms the presence of the virus is not used at certain places and people are declared hiv-positive without proper testing. "
"Nov 24, 2001, 23:23 IST",Dist level workshop on HIV/AIDS today,"bellary: vidyanagar (jindal township) rotary club have hosted a district-level workshop on hiv/aids managements and updates, another unique programme arranged by the club to be inaugurated by veerabhadrachari, secretary, medical education, government of karnataka on sunday at the sports club, vidyanagar. j.k. tandon, joint managing director and ceo, jindal vijayanagar steels limited (jvsl) will be the guest of honour, said r.p. raichur, president, rotary club of vidyanagar. he told reporters on sunday at the indian medical association hall that about 200 doctors from seven revenue districts 3160 comprising of bellary, raichur, koppal, gulbarga, bidar, davanagere and chitradurga of karnataka and four districts - anantapur, kurnool, cuddapah and nellore from andhra pradesh are expected to participated in the workshop. raichur said the deliberations will be on topics like virology, epidemeology, psycho-social aspects of hiv and aids, safe blood transfusion etc and the workshop will conclude with panel discussions, he added. there will also be a street play on the subject and a case study as a part of workshop. sexually transmitted disease (std) clinics have already been set up on jindal project site a month ago, and made available to truck drivers who are considered the most vulnerable - carrying the virus. over 700 trucks are moving from and into the jindal project site and therefore the clinic will serve its purpose. dr sharad m. tanga, assistant professor of surgery, m.r. medical college, gulbarga will give an introductory address about the disease and speaks about epidemeology. dr k.s. satish, wockhardt hospital, bangalore will speak on virology and will also enlighten the medical line of treatment. dr k. lakshman, frcs, bangalore will throw light on universal precautions. sangamitra iyengar, director, samraksha, a non-governmental organisation, will speak on psychological aspects of hiv/aids. dr mrinalini chaturvedi will enlighten on safe blood transfusion. the workshop will end with a panel discussion at 5 pm. power tariff hike condemned: members of karnataka prantha raitha sangha (kprs) strongly condemned the government decision of 13 per cent hike in power tariff. v.s. shivashankar, president of district unit of kprs and u. basavaraj, secretary, heavily came down on the government for its decision terming it as draconian to further weaken the farmers interests. kprs members led by shivashankar and basavaraj organised a one-day token dharna on saturday squatting in front of the deputy commissioners office demanding the administration to supply uninterrupted power supply to farmers pumpsets for a minimum number of hours. they also urged the government to take concrete steps to supply irrigated water to high level canal till december end and pressured to write off all farmers crop loans immediately. they threatened the administration that if the official concerned from kptc would not turn up to listen to their demands, they would organise a rasta-roko at the royal circle in the town. however, acchanna, headquarter assistant, tahasildar, shivappa and executive engineer from kptc arrived at the dharna spot and received the memorandum on behalf of the deputy commissioner, addressed to the state power minister and irrigation minister. the officials assured the agitators that they would convey the demands to the departments concerned. "
"Sidharth D. Kashyap,Nov 25, 2001, 00:50 IST",HIV-at-birth cases rise alarmingly,"pune: in one area at least it seems that the aids prevention policy that the government has been pursuing, has been a failure. pune has joined neighbouring mumbai and sangli as having the highest number of hivinfected pregnancy cases in india. according to dr sanjay mehendale, deputy director of the pune-based national aids research institute (nari), a government agency, the prevalence of hiv infection among pregnant women has crossed two per cent in the city. while cities like chennai, bangalore and hyderabad have over one per cent of hiv infected pregnant women, the rate is below one per cent in kolkata, delhi and ahmedabad. he cautioned the figures are likely to ""increase substantially"" in the next couple of years. dr mehendale, who delivered a lecture on 'epidomology of paediatric hiv infection/aids in india' at the 4th national conference on paediatric infectious diseases, organised by the indian academy of paediatrics, pune, said more and more infants are born with the deadly virus. ""recent studies have shown that the rate of paediatric hiv infection in india and some african nations is as high as 15-20 per cent compared to two per cent in the developed countries,"" he said. the reason he says is the higher prevalance of hiv among women of child-bearing age. ""even at a presumed rate of 30 per cent vertical transmission, nearly 37,500 infants could acquire hiv infection from their mothers in india every year,"" he added. he attributed the increasing paediatric hiv cases mostly to lack of screening and other diagnostic facilities of pregnant women.there are also no proper guidelines from national agencies for prevention of mother to child transmission. ""there is poor access to antiretroviral medicines and safe breast milk substitutes,"" he added. ""there is a clear need to fame guidelines and get more evidence and data regarding issues like treatment, breast feeding and need for a caesarean delivery,"" he said. a sad comment on government's ineffectiveness in tackling this deadly disease for well over a decade. "
"Nov 29, 2001, 21:11 IST",60 test HIV positive in Kerala this year,"thiruvananthapuram: as many as 60 people were tested hiv positive in kerala this year, health minister p. sankaran informed the assembly on thursday. replying to questions, the minister said the state aids control society, which is coordinating various aids awareness activities, had tested 1,270 blood samples this year. according to official sources, an estimated 70,000 to 100,000 people in the state were infected with hiv. this estimate was worked out on the basis of periodic surveys conducted among pregnant women in the state. there were 869 reported aids patients in the state, but the actual number would be much higher, the sources added. "
" By Siddhartha D. Kashyap,Dec 2, 2001, 01:14 IST",No guidelines for treatment of HIV-infected women,"pune: despite all the money and attention lavished on aids 'awareness' and control programmes, there is no standard guideline for treatment of pregnant women infected with hiv. this, despite the fact that pune,along with mumbai and sangli have, together, the highest number of hiv-infected pregnancies in the country. doctors are thus awaiting results of a feasibility study being conducted at the national aids control organisation (naco) on how to reduce the chances of viral transmission from the infected mother to her baby. findings of the study, conducted at 11 centres across the country, including the sassoon hospital here and two centres in mumbai, are expected to be out soon. the study is examining the effects of a prescribed anti-retro viral drug on infected women.while most city hospitals prescribe zidoviudin or nevirapine, some others, for instance the armed forces medical college, administer lamivudin to hiv-infected pregnant women. naco, which earlier recommended zidoviudin for hiv-infected pregnant woman, later switched to nevirapine, which was cheaper. ratna yashwante of nari said zidoviudin used to be given twice a day for a month from the beginning of the 36th week of pregnancy.the total cost of this therapy proved to be too costly for patients in the low income group as a single tablet costs rs 60, she said. nevirapine, on the other hand, is given only once, at the onset of labour pains. aids specialist dr sanjay pujari, who is equally anxious about the findings of the study, said there is utter confusion amongst doctors, particularly in government-run hospitals about the correct treatment since there are no standard guidelines. some countries have made it mandatory for doctors to administer a common anti-retroval drug to patients, he said. the prevalence of hiv infection among pregnant women in the city has crossed two per cent, he says, due mainly to lack of screening and diagnostic facilities for pregnant women, compounded by poor access to retro-viral drugs and breast milk substitutes. it makes matters worse when there is no standard procedure laid down for handling mother-to-child transmission. dr kapila bharucha, head of the obstetrics and gynaecology department, sassoon hospital, also calls for a common set of guidelines in the present context of mother-tochild transmission of the killer virus, which has assumed dangerous proportions. dr sanjay mehendale, deputy director, nari, said studies have been recently carried out in thailand and abidjan (africa) by adminstering doses of zidoviudin, and it showed 50 and 37 per cent reduction in the rate of transmission respectively from the infected mother to the child. another study with nevirapine was conducted at uganda where the risk of transmitting the disease from the mother to baby was reduced by 47 per cent. he said the rate of paediatric hiv infection in india, along with some african nations, is as high as 15-20 per cent, compared to two per cent in the developed countries. "
"Kalpana Jain,Dec 1, 2001, 01:43 IST","In India, drug price tip of HIV iceberg","new delhi: when krishna rao went to a hospital in visakhapatnam with symptoms of hiv, the doctor handed him a prescription for three medicines, one of which was an anti-retroviral drug. the total cost of medicines for a month was rs 1,943. krishna rao, who earns rs 2,000 a month as a farm labourer, sold his belongings to buy the medicines, believing they would cure him. little did he realise that taking the drug for a month and stopping abruptly would only increase his problems. he also did not know that a combination of anti-retrovirals needs to be taken to allow the drugs to prolong life. even as a concerted campaign is launched on world aids day on saturday for affordable drugs, ensuring proper therapy still remains way down on the list of health priorities. a majority of the 3.9 million living with the virus in india continue to die early of hiv not only because anti-retrovirals are unaffordable but also because health professionals are not adequately trained, wrong combinations of drugs are prescribed, and monitoring of these highly toxic drugs is inadequate. as a result, hiv at 20 may have become a manageable, chronic disease with the help of these drugs, but only for those who also have access to a proper health infrastructure and effective monitoring system. as purnima madhivanan at yrg care points out: ''it seems to be common to give two drugs called azt and d4t together. they don't work if they are given together because of their antagonistic effects on each other. even an anaesthetist was on these drugs for a long time.'' as the therapy works by reducing the load of hiv in the body so that the damage to the immune system is minimised, the viral load needs to be checked from time to time. but while the therapy costs about rs 2,000 a month, a single test to determine the hiv load in the body costs rs 6,000. compliance to the complicated regimen of drugs is necessary to avoid drug resistance. president of the international aids society stefano vella has already stated that resistant strains have started emerging all over, including in mumbai and chennai, as a result of the indiscriminate use of the therapy. "
